# English || Deutsch || Français || Español || Slovenčina   (one entry per line; {name} placeholders must be kept)
{t} ago || vor {t} || il y a {t} || hace {t} || pred {t}
(private MAC) || (private MAC) || (MAC privée) || (MAC privada) || (súkromná MAC)
local || lokal || local || local || lokálne
no risk factors || keine Risikofaktoren || aucun facteur de risque || sin factores de riesgo || žiadne rizikové faktory
Mark the {n} devices shown as known? || Die {n} angezeigten Geräte als bekannt markieren? || Marquer les {n} appareils affichés comme connus ? || ¿Marcar los {n} dispositivos mostrados como conocidos? || Označiť {n} zobrazených zariadení ako známe?
{n} device{s} selected || {n} Gerät{s} ausgewählt || {n} appareil{s} sélectionné || {n} dispositivo{s} seleccionado || {n} vybrané zariadenie{s}
{n} device{s} changed. || {n} Gerät{s} geändert. || {n} appareil{s} modifié. || {n} dispositivo{s} modificado. || {n} zariadenie{s} zmenené.
+ Add to selected || + Zu Auswahl hinzufügen || + Ajouter à la sélection || + Añadir a la selección || + Pridať k vybraným
− Remove from selected || − Aus Auswahl entfernen || − Retirer de la sélection || − Quitar de la selección || − Odstrániť z vybraných
Clear selection || Auswahl aufheben || Effacer la sélection || Borrar selección || Zrušiť výber
Also takes type:printer, port:9100, vendor:hp, owner:, tag:, room:, os:, status: — combine several, separated by a space || Akzeptiert auch type:printer, port:9100, vendor:hp, owner:, tag:, room:, os:, status: — mehrere kombinierbar, getrennt durch ein Leerzeichen || Accepte aussi type:printer, port:9100, vendor:hp, owner:, tag:, room:, os:, status: — combinables, séparés par un espace || También admite type:printer, port:9100, vendor:hp, owner:, tag:, room:, os:, status: — se pueden combinar, separados por un espacio || Prijíma aj type:printer, port:9100, vendor:hp, owner:, tag:, room:, os:, status: — dá sa skombinovať viac, oddelené medzerou
tag name || Tag-Name || nom de l'étiquette || nombre de la etiqueta || názov štítku
Select all shown || Alle angezeigten auswählen || Sélectionner tout ce qui est affiché || Seleccionar todo lo mostrado || Vybrať všetky zobrazené
×{n}, recurring since {time} || ×{n}, wiederholt seit {time} || ×{n}, se répète depuis {time} || ×{n}, se repite desde {time} || ×{n}, opakuje sa od {time}
Acknowledge all ({n}) || Alle bestätigen ({n}) || Tout confirmer ({n}) || Confirmar todo ({n}) || Potvrdiť všetky ({n})
Acknowledge all || Alle bestätigen || Tout confirmer || Confirmar todo || Potvrdiť všetky
Also clears any older backlog this page does not show || Löscht auch jeden älteren Rückstand, den diese Seite nicht anzeigt || Efface aussi tout arriéré plus ancien que cette page ne montre pas || También borra cualquier acumulado más antiguo que esta página no muestra || Vyčistí aj starší nevybavený zoznam, ktorý táto stránka nezobrazuje
Acknowledge every unacknowledged alert, including any older backlog this page does not show? || Alle unbestätigten Warnungen bestätigen, einschließlich jedes älteren Rückstands, den diese Seite nicht anzeigt? || Confirmer toutes les alertes non confirmées, y compris tout arriéré plus ancien que cette page ne montre pas ? || ¿Confirmar todas las alertas no confirmadas, incluido cualquier acumulado más antiguo que esta página no muestra? || Potvrdiť všetky nepotvrdené upozornenia vrátane staršieho nevybaveného zoznamu, ktorý táto stránka nezobrazuje?
Could not save || Speichern nicht möglich || Enregistrement impossible || No se pudo guardar || Nepodarilo sa uložiť
online || online || en ligne || en línea || online
not seen recently || zuletzt nicht gesehen || pas vu récemment || no visto recientemente || nedávno nevidené
manual || manuell || manuel || manual || ručne
joined recently and nobody has reviewed it || kürzlich hinzugekommen, noch von niemandem geprüft || récemment ajouté, pas encore examiné || se unió hace poco y nadie lo ha revisado || pripojené nedávno, nikto ho ešte nekontroloval
